date,week,year,month,Lane,shipment,Holiday Flag,Quarter,Previous Week Shipment,Previous Year Shipment,Moving Average Shipment,Encoded_Lane,shipment_sqrt_transform,Predicted_shipment
2023-11-13,46,2023,11,DE02_29365141,1,0,4,1,2,0,2,1.0,1
2023-11-20,47,2023,11,DE02_29365141,1,0,4,1,2,0,2,1.0,1
2023-11-27,48,2023,11,DE02_29365141,0,0,4,1,0,0,2,0.0,1
2023-11-06,45,2023,11,DE02_29756574,2,0,4,0,1,4,2,1.4142135623730951,1
2023-11-13,46,2023,11,DE02_29756574,1,0,4,2,2,3,2,1.0,4
2023-11-27,48,2023,11,DE02_29756574,1,0,4,1,1,2,2,1.0,1
2023-11-20,47,2023,11,DE02_29756574,0,0,4,1,3,1,2,0.0,1
2023-11-06,45,2023,11,DE02_29785993,2,0,4,0,2,1,2,1.4142135623730951,1
2023-11-13,46,2023,11,DE02_29785993,2,0,4,2,0,1,2,1.4142135623730951,1
2023-11-20,47,2023,11,DE02_29785993,2,0,4,2,2,1,2,1.4142135623730951,1
2023-11-27,48,2023,11,DE02_29785993,2,0,4,2,1,0,2,1.4142135623730951,1
2023-11-13,46,2023,11,DE05_29145543,3,0,4,0,1,0,0,1.7320508075688772,1
2023-11-20,47,2023,11,DE05_29145543,2,0,4,3,1,0,0,1.4142135623730951,1
2023-11-06,45,2023,11,DE05_29145543,1,0,4,2,1,0,0,1.0,1
2023-11-27,48,2023,11,DE05_29145543,0,0,4,1,3,0,0,0.0,1
2023-11-20,47,2023,11,DE05_29237315,2,0,4,0,2,0,0,1.4142135623730951,1
2023-11-06,45,2023,11,DE05_29237315,1,0,4,2,1,0,0,1.0,1
2023-11-13,46,2023,11,DE05_29237315,1,0,4,1,0,0,0,1.0,1
2023-11-27,48,2023,11,DE05_29237315,1,0,4,1,1,0,0,1.0,1
2023-11-27,48,2023,11,DE06_29142961,2,0,4,1,0,0,0,1.4142135623730951,1
2023-11-06,45,2023,11,DE06_29142961,1,0,4,2,2,0,0,1.0,1
2023-11-13,46,2023,11,DE06_29142961,1,0,4,1,0,0,0,1.0,1
2023-11-20,47,2023,11,DE06_29142961,1,0,4,1,1,0,0,1.0,1
2023-11-06,45,2023,11,DE06_29143103,1,0,4,0,1,0,0,1.0,1
2023-11-13,46,2023,11,DE06_29143103,1,0,4,1,2,0,0,1.0,1
2023-11-20,47,2023,11,DE06_29143103,1,0,4,1,1,0,0,1.0,1
2023-11-27,48,2023,11,DE06_29143103,1,0,4,1,2,0,0,1.0,1
2023-11-27,48,2023,11,DE06_29143128,2,0,4,0,1,0,0,1.4142135623730951,1
2023-11-13,46,2023,11,DE06_29143128,1,0,4,2,2,0,0,1.0,1
2023-11-20,47,2023,11,DE06_29143128,1,0,4,1,0,0,0,1.0,1
2023-11-06,45,2023,11,DE06_29143128,0,0,4,1,1,0,0,0.0,1
2023-11-20,47,2023,11,DE06_40106043,2,0,4,0,0,0,0,1.4142135623730951,1
2023-11-27,48,2023,11,DE06_40106043,2,0,4,2,0,0,0,1.4142135623730951,1
2023-11-13,46,2023,11,DE06_40106043,1,0,4,2,0,0,0,1.0,1
2023-11-06,45,2023,11,DE06_40106043,0,0,4,1,0,0,0,0.0,0
2023-11-06,45,2023,11,DE08_29143191,1,0,4,2,2,0,0,1.0,1
2023-11-13,46,2023,11,DE08_29143191,1,0,4,1,3,0,0,1.0,1
2023-11-20,47,2023,11,DE08_29143191,1,0,4,1,2,0,0,1.0,1
2023-11-27,48,2023,11,DE08_29143191,1,0,4,1,3,0,0,1.0,1
